city_name,department_code,year,month,count,project_type,status
شهر 11,8015.0,1401.0,8.0,0.0,تست2,تهیه صورت وضعیت
شهر 12,9601.0,1401.0,8.0,0.0,تست2,تهیه صورت وضعیت
شهر 13,8101.0,1401.0,8.0,0.0,تست2,تهیه صورت وضعیت
شهر 14,8001.0,1401.0,8.0,0.0,تست2,تهیه صورت وضعیت
شهر 15,8501.0,1401.0,8.0,0.0,تست2,تهیه صورت وضعیت
شهر 16,9010.0,1401.0,8.0,0.0,تست2,تهیه صورت وضعیت
شهر 1,6010.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 2,6001.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 3,5001.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 4,9001.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 5,7001.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 6,6005.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 7,8401.0,1401.0,9.0,1.0,تست2,تهیه صورت وضعیت
شهر 8,9501.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 9,2001.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 10,7501.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 11,8015.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 12,9601.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 13,8101.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 14,8001.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 15,8501.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 16,9010.0,1401.0,9.0,0.0,تست2,تهیه صورت وضعیت
شهر 1,6010.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 2,6001.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 3,5001.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 4,9001.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 5,7001.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 6,6005.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 7,8401.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 8,9501.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 9,2001.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 10,7501.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 11,8015.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 12,9601.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 13,8101.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 14,8001.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 15,8501.0,1401.0,7.0,1.0,تست2,صورت وضعیت نزد ستاد
شهر 16,9010.0,1401.0,7.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 1,6010.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 2,6001.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 3,5001.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 4,9001.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 5,7001.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 6,6005.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 7,8401.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 8,9501.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 9,2001.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 10,7501.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 11,8015.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 12,9601.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 13,8101.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 14,8001.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 15,8501.0,1401.0,8.0,1.0,تست2,صورت وضعیت نزد ستاد
شهر 16,9010.0,1401.0,8.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 1,6010.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 2,6001.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 3,5001.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 4,9001.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 5,7001.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 6,6005.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 7,8401.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 8,9501.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 9,2001.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 10,7501.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 11,8015.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 12,9601.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 13,8101.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 14,8001.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
شهر 15,8501.0,1401.0,9.0,1.0,تست2,صورت وضعیت نزد ستاد
شهر 16,9010.0,1401.0,9.0,0.0,تست2,صورت وضعیت نزد ستاد
